mAh	volts	mA
0.0	3.02327001	0.12031739999999999
1.18e-05	3.035935	0.12161440000000001
2.53e-05	3.04814221	0.1213092
4.15e-05	3.06019684	0.1212329
6.0700000000000005e-05	3.0717937	0.1213855
8.369999999999999e-05	3.08308537	0.1213855
0.0001123	3.09407187	0.1214618
0.0001487	3.104448	0.1213092
0.00019760000000000003	3.11497673	0.1213855
0.0002701	3.12535286	0.1214618
0.000382	3.13557641	0.1214618
0.0005728	3.14579995	0.1213092
0.0009102	3.15587091	0.1215381
0.001483	3.16594186	0.1213855
0.0024053	3.17601282	0.1213092
0.0037739	3.18608377	0.1211566
0.005665	3.19615473	0.1212329
0.0081663	3.20622568	0.1214618
0.0112915	3.21629664	0.1214618
0.015026199999999998	3.22652018	0.1213855
0.019488699999999998	3.23659113	0.1215381
0.024516899999999998	3.24666209	0.1213092
0.0301262	3.25688563	0.1213855
0.036411700000000005	3.26695659	0.1213855
0.043244700000000004	3.27702754	0.1213092
0.050447799999999994	3.2870985	0.1213092
0.0580905	3.29716945	0.1213855
0.0661664	3.30724041	0.1210803
0.0746724	3.31731136	0.1213855
0.08352389999999998	3.32738231	0.1213855
0.09286219999999999	3.33745327	0.1215381
0.1024584	3.34752422	0.1214618
0.1126182	3.35759518	0.1213855
0.1232483	3.36766613	0.1213855
0.1342471	3.37773709	0.1213092
0.14564	3.38780804	0.1213092
0.1576795	3.397879	0.1213092
0.17032740000000002	3.40794995	0.1213855
0.1832416	3.4180209	0.12161440000000001
0.1969261	3.42809186	0.1213092
0.2115184	3.43816281	0.1215381
0.2269211	3.44823377	0.1213092
0.2444115	3.45830472	0.1213855
0.2671477	3.46837568	0.1214618
0.2974866	3.47539483	0.1213855
0.3278254	3.47951476	0.1212329
0.3581643	3.48302434	0.1214618
0.3885031	3.48607614	0.1212329
0.41884190000000004	3.48958572	0.1214618
0.44918080000000005	3.49279011	0.1213092
0.4795196	3.49645228	0.1212329
0.5098584	3.5007248	0.1213855
0.5401973000000001	3.50530251	0.1213092
0.5705361	3.5101854	0.1213855
0.6008749	3.51552605	0.1213092
0.6312137999999999	3.52117189	0.1213855
0.6615525999999999	3.52742809	0.1211566
0.6918915	3.53383688	0.1214618
0.7222303	3.54024567	0.12161440000000001
0.7525691999999999	3.54650187	0.12161440000000001
0.782908	3.55275807	0.1213855
0.8132467999999999	3.55916686	0.1213855
0.8435857	3.56557565	0.1213092
0.8739246	3.57152667	0.1213855
0.9042634	3.5771725	0.1212329
0.9346023	3.58251316	0.1215381
0.9649411999999999	3.58831159	0.1210803
0.99528	3.59426261	0.1211566
1.0256188000000002	3.60021363	0.1214618
1.0559577	3.60479133	0.1213092
1.0862966	3.60891127	0.1212329
1.1166353999999998	3.61211566	0.1214618
1.1469741999999998	3.61532006	0.1214618
1.1773131	3.61852445	0.1212329
1.207652	3.62127108	0.1215381
1.2379908000000002	3.6240177	0.1213092
1.2683297	3.62661173	0.1212329
1.2986685	3.62905318	0.1213855
1.3290073999999998	3.63118944	0.1213855
1.3593462	3.63347829	0.1214618
1.3896851000000001	3.63561456	0.1214618
1.4200239000000001	3.63775082	0.1213092
1.4503628	3.6395819	0.1214618
1.4807016	3.64141299	0.1214618
1.5110405	3.64354925	0.1215381
1.5413793	3.64553292	0.1213855
1.5717182	3.64766918	0.1213855
1.602057	3.64980545	0.1213092
1.6323957999999998	3.65194171	0.1212329
1.6627345999999998	3.65392538	0.1213092
1.6930735	3.65590906	0.1213092
1.7234123	3.6583505	0.1212329
1.7537512	3.66048676	0.1213855
1.78409	3.66277562	0.1213092
1.8144289000000002	3.66521706	0.1213855
1.8447677	3.6676585	0.1213092
1.8751065	3.67009995	0.1213855
1.9054454	3.67269398	0.1212329
1.9357842	3.6754406	0.1214618
1.9661230999999997	3.67833982	0.1213855
1.996462	3.68108644	0.1213855
2.0268007999999997	3.68429084	0.1215381
2.0571397	3.68734264	0.1213855
2.0874785	3.69069963	0.1214618
2.1178174	3.6942092	0.1213092
2.1481563	3.69802396	0.1214618
2.1784951	3.70214389	0.1213855
2.208834	3.70626383	0.1215381
2.2391728	3.71099413	0.1213855
2.2695117000000002	3.7160296	0.1214618
2.2998505	3.72167544	0.1214618
2.3301893	3.72777905	0.1215381
2.3605282	3.73418784	0.1214618
2.390867	3.74135958	0.1211566
2.4212059	3.74868391	0.1213092
2.4515447000000004	3.75585565	0.1215381
2.4818835	3.76241703	0.1213855
2.5122223999999997	3.76882582	0.1214618
2.5425612	3.77508202	0.1213855
2.5728999999999997	3.78118563	0.1213092
2.6032389	3.78728923	0.1212329
2.6335777	3.79339284	0.1213092
2.6639165000000005	3.79980163	0.1211566
2.6942554	3.80590524	0.1213855
2.7245942	3.81246662	0.1212329
2.754933	3.819028	0.1213855
2.7852719	3.82543679	0.1214618
2.8156108000000004	3.83215076	0.1213855
2.8459496	3.83901732	0.1213855
2.8762885	3.84603647	0.1213092
2.9066273	3.85290303	0.1213092
2.9369662	3.86007477	0.1213092
2.9673051	3.86694133	0.1213855
2.9976439000000004	3.87411307	0.1213092
3.0279827	3.88128481	0.1212329
3.0583215999999998	3.88876173	0.1213855
3.0886603999999998	3.89608606	0.1211566
3.1189993	3.90341039	0.1214618
3.1493381	3.9110399	0.1213855
3.1796769	3.91821164	0.1212329
3.2100158000000003	3.92614633	0.1213092
3.2403546000000003	3.93362325	0.1213092
3.2706934999999997	3.94125277	0.1213092
3.3010322999999997	3.94903487	0.1214618
3.3313710999999997	3.95651179	0.1212329
3.36171	3.96429389	0.1211566
3.3920488000000004	3.97238117	0.1213855
3.4223877000000003	3.98001068	0.1215381
3.4527265000000003	3.98809796	0.1213092
3.4830653000000003	3.99588006	0.1213092
3.5134042	4.00427253	0.1213855
3.5437431	4.01220722	0.1213092
3.5740819	4.02044709	0.1213092
3.6044208	4.02868696	0.1212329
3.6347596	4.03677424	0.1214618
3.6650984999999996	4.04486152	0.1213855
3.6954373	4.05325399	0.1214618
3.7257762000000003	4.06164645	0.1213855
3.756115	4.07003891	0.1212329
3.7864539	4.07827878	0.1213092
3.8167927	4.08682383	0.1213855
3.8471316	4.09491112	0.1213092
3.8640681	4.09994659	0.1214618
