volts	mAhg
1.12275883	2.837E-05
1.11268788	0.045058687
1.10261692	0.117834885
1.09254597	0.205398957
1.08247501	0.301927956
1.07240406	0.404003294
1.0623331	0.511029201
1.05226215	0.623594354
1.0421912	0.739975276
1.03212024	0.861363506
1.02204929	0.986971777
1.01197833	1.117268194
1.00190738	1.249018575
0.99183642	1.384832961
0.98176547	1.525186551
0.97169451	1.667100492
0.96162356	1.815192005
0.95155261	1.966333295
0.94148165	2.118410796
0.9314107	2.275438867
0.92133974	2.434225878
0.91126879	2.595190288
0.90119783	2.759559101
0.89112688	2.924239985
0.88105592	3.091006065
0.87098497	3.259020426
0.86091402	3.428758265
0.85084306	3.599283373
0.84077211	3.77167381
0.83070115	3.944269929
0.8206302	4.117695872
0.81055924	4.290263621
0.80048829	4.462370358
0.79041733	4.637867312
0.78034638	4.815591313
0.77012284	4.995010422
0.76005188	5.179365916
0.74998093	5.363579559
0.73990997	5.553275709
0.72983902	5.749156524
0.71976806	5.948080023
0.70969711	6.160975759
0.69962615	6.376644663
0.6895552	6.599143651
0.67948425	6.831444481
0.66941329	7.069915791
0.65934234	7.31475617
0.64927138	7.56890901
0.63920043	7.82422502
0.62912947	8.091640844
0.61905852	8.363510762
0.60929274	8.63538068
0.60013733	8.907250597
0.59067674	9.179120515
0.58167391	9.45098334
0.57297627	9.722853258
0.56443122	9.994723176
0.55603876	10.26659309
0.54795148	10.53846301
0.54032197	10.81033293
0.53253986	11.08220285
0.52536812	11.35406567
0.5178912	11.62593559
0.51071946	11.89780551
0.50354772	12.16967543
0.49698634	12.44154534
0.49027237	12.71341526
0.4835584	12.98528518
0.4773022	13.257148
0.47104601	13.52901792
0.46509499	13.80088784
0.45899138	14.07275776
0.45319295	14.34462768
0.44785229	14.61649759
0.44205386	14.88836751
0.43640803	15.16023034
0.43091478	15.43210025
0.42572671	15.70397017
0.42053864	15.97584009
0.41535058	16.24771001
0.4103151	16.51957993
0.40543221	16.79144275
0.40054932	17.06331267
0.39551385	17.33518259
0.39093614	17.6070525
0.38605325	17.87892242
0.38162814	18.15079234
0.37720302	18.42266226
0.3727779	18.69452508
0.36850538	18.966395
0.36423285	19.23826492
0.35996033	19.51013484
0.35599298	19.78200475
0.35187304	20.05387467
0.3479057	20.32574459
0.34393835	20.59760741
0.33981842	20.86947733
0.33615625	21.14134725
0.33218891	21.41321717
0.32852674	21.68508709
0.32471199	21.956957
0.32120241	22.22882692
0.31769284	22.50068975
0.31418326	22.77255966
0.31067369	23.04442958
0.30716411	23.3162995
0.30365454	23.58816942
0.30060273	23.86003934
0.29755093	24.13190925
0.29419394	24.40377208
0.29098955	24.675642
0.28763256	24.94751191
0.28473335	25.21938183
0.28152895	25.49125175
0.27847715	25.76312167
0.27557794	26.03499158
0.27267872	26.30685441
0.2699321	26.57872433
0.26688029	26.85059425
0.26413367	27.12246416
0.26138705	27.39433408
0.25879301	27.666204
0.25604639	27.93807392
0.25314717	28.20993674
0.25055314	28.48180666
0.2481117	28.75367658
0.24567025	29.0255465
0.24322881	29.29741641
0.24048219	29.56928633
0.23834592	29.84115625
0.23575189	30.11301907
0.23361563	30.38488899
0.23147936	30.65675891
0.22919051	30.92862883
0.22705425	31.20049874
0.22491798	31.47236866
0.2230869	31.74423858
0.22110323	32.01610141
0.21911955	32.28797132
0.21759365	32.55984124
0.21606775	32.83171116
0.21454185	33.10358108
0.21316854	33.37545099
0.21179522	33.64732091
0.21103227	33.91918374
0.21011673	34.19105366
0.20950637	34.46292357
0.20920119	34.73479349
0.20889601	35.00666341
0.20828565	35.27853333
0.20828565	35.55039615
0.20813306	35.82226607
0.20798047	36.09413599
0.20798047	36.36600591
0.2075227	36.63787582
0.20737011	36.90974574
0.2075227	37.18161566
0.20737011	37.45347848
0.20737011	37.7253484
0.20721752	37.99721832
0.20721752	38.26908824
0.20721752	38.54095815
0.20706493	38.81282807
0.20706493	39.08469799
0.20691234	39.35656082
0.20675975	39.62843073
0.20691234	39.90030065
0.20675975	40.17217057
0.20660716	40.44404049
0.20660716	40.7159104
0.20660716	40.98778032
0.20645457	41.25964315
0.20630198	41.53151307
0.20630198	41.80338298
0.20614939	42.0752529
0.20614939	42.34712282
0.2059968	42.61899274
0.20584421	42.89086265
0.20569162	43.16272548
0.20553902	43.4345954
0.20553902	43.70646532
0.20523384	43.97833523
0.20508125	44.25020515
0.20508125	44.52207507
0.20477607	44.79394499
0.20477607	45.06580781
0.20462348	45.33767773
0.2043183	45.60954765
0.2043183	45.88141756
0.2043183	46.15328748
0.20416571	46.4251574
0.20386053	46.69702732
0.20370794	46.96889014
0.20370794	47.24076006
0.20340276	47.51262998
0.20325017	47.7844999
0.20309758	48.05636981
0.2027924	48.32823973
0.20248722	48.60010965
0.20233463	48.87197248
0.20202945	49.14384239
0.20187686	49.41571231
0.20141909	49.68758223
0.20111391	49.95945215
0.20096132	50.23132206
0.20065614	50.50319198
0.20050355	50.77505481
0.20004578	51.04692473
0.20004578	51.31879464
0.19958801	51.59066456
0.19928283	51.86253448
0.19897765	52.1344044
0.19867247	52.40627431
0.19821469	52.67813714
0.19760433	52.95000706
0.19729915	53.22187697
0.19699397	53.49374689
0.1965362	53.76561681
0.19607843	54.03748673
0.19577325	54.30934955
0.19531548	54.58121947
0.19485771	54.85308939
0.19439994	55.12495931
0.19378958	55.39682922
0.19333181	55.66869914
0.19287404	55.94056906
0.19241627	56.21243189
0.19165332	56.4843018
0.19134813	56.75617172
0.19073777	57.02804164
0.19028	57.29991156
0.18966964	57.57178147
0.18905928	57.84365139
0.18844892	58.11551422
0.18814374	58.38738414
0.18738079	58.65925405
0.18661784	58.93112397
0.18616007	59.20299389
0.18554971	59.47486381
0.18509194	59.74673372
0.18432898	60.01859655
0.18387121	60.29046647
0.18295567	60.56233638
0.18265049	60.8342063
0.18173495	61.10607622
0.18112459	61.37794614
0.18051423	61.64981606
0.17959869	61.92167888
0.17914092	62.1935488
0.17853056	62.46541872
0.1779202	62.73728863
0.17730983	63.00915855
0.17639429	63.28102847
0.17578393	63.55289839
0.17517357	63.82476121
0.1747158	64.09663113
0.17395285	64.36850105
0.17349508	64.64037097
0.17273213	64.91224088
0.17212177	65.1841108
0.171664	65.45598072
0.17105364	65.72784355
0.17044327	65.99971346
0.16983291	66.27158338
0.16922255	66.5434533
0.16861219	66.81532322
0.16815442	67.08719313
0.16754406	67.35906305
0.16708629	67.63092588
0.16647593	67.90279579
0.16571298	68.17466571
0.16525521	68.44653563
0.16464485	68.71840555
0.16403449	68.99027547
0.16357671	69.26214538
0.16281376	69.53400821
0.1622034	69.80587813
0.16128786	70.07774804
0.16083009	70.34961796
0.16021973	70.62148788
0.15960937	70.8933578
0.15869383	71.16522772
0.15823606	71.43709054
0.1576257	71.70896046
0.15686275	71.98083038
0.15609979	72.25270029
0.15548943	72.52457021
0.15472648	72.79644013
0.15396353	73.06831005
0.15350576	73.34017287
0.15274281	73.61204279
0.15228504	73.88391271
0.15152209	74.15578263
0.15121691	74.42765254
0.15060655	74.69952246
0.15014878	74.97138529
0.1498436	75.2432552
0.14938582	75.51512512
0.14908064	75.78699504
0.14892805	76.05886496
0.14831769	76.33073488
0.14785992	76.60260479
0.14755474	76.87446762
0.14709697	77.14633754
0.14679179	77.41820745
0.14633402	77.69007737
0.14572366	77.96194729
0.14541848	78.23381721
0.1451133	78.50568713
0.14450294	78.77754995
0.14389258	79.04941987
0.14343481	79.32128979
