volts	mAhg
3.01121538	1.8797E-05
3.03715572	0.000793233
3.06294347	0.001669173
3.08918898	0.002669173
3.11497673	0.003796992
3.14091707	0.005090226
3.16639963	0.006575188
3.1918822	0.008296992
3.21736477	0.010300752
3.24269474	0.012609023
3.26802472	0.01518797
3.2933547	0.018090226
3.31868467	0.021360902
3.34416724	0.025093985
3.36934463	0.029345865
3.3946746	0.034259398
3.41985199	0.039984962
3.44502937	0.046699248
3.47020676	0.054703008
3.49523156	0.064274436
3.52040894	0.076725564
3.54543374	0.096281955
3.57061112	0.138086466
3.59472038	0.279056391
3.60357061	0.420026316
3.60860609	0.561
3.61242084	0.701969925
3.61532006	0.84293985
3.61791409	0.983913534
3.61959258	1.124883459
3.62157626	1.265853383
3.62310216	1.406827068
3.62447547	1.547796992
3.62584878	1.688766917
3.6270695	1.829740602
3.62829023	1.970710526
3.62935836	2.111680451
3.6302739	2.252654135
3.63118944	2.39362406
3.63241016	2.534593985
3.63317311	2.675567669
3.63393606	2.816537594
3.63485161	2.957507519
3.63561456	3.098481203
3.63637751	3.239451128
3.63714046	3.380421053
3.63790341	3.521394737
3.63851377	3.662364662
3.63927672	3.803334586
3.64003967	3.944308271
3.64049744	4.085278195
3.6411078	4.22624812
3.64187076	4.367221805
3.64248112	4.508191729
3.64309148	4.649161654
3.64354925	4.790135338
3.64415961	4.931105263
3.64492256	5.072075188
3.64522774	5.213048872
3.6458381	5.354018797
3.64644846	5.494988722
3.64675364	5.635962406
3.647364	5.776932331
3.64782177	5.917902256
3.64812696	6.05887594
3.64888991	6.199845865
3.64950027	6.340815789
3.64980545	6.481789474
3.6505684	6.622759398
3.65072099	6.763729323
3.65117876	6.904703008
3.65148394	7.045672932
3.6520943	7.186642857
3.65270466	7.327616541
3.65316243	7.468586466
3.65346761	7.609556391
3.65377279	7.750530075
3.65438315	7.8915
3.65484092	8.032469925
3.65514611	8.173443609
3.65560388	8.314413534
3.65590906	8.455383459
3.65621424	8.596357143
3.6568246	8.737327068
3.65712978	8.878296992
3.65758755	9.019270677
3.65819791	9.160240602
3.6583505	9.301210526
3.65865568	9.442184211
3.65911345	9.583154135
3.65941863	9.72412406
3.6598764	9.865097744
3.66033417	10.00606767
3.66079194	10.14703759
3.66109712	10.28801128
3.6614023	10.4289812
3.66186007	10.56995113
3.66216526	10.71092481
3.66262303	10.85189474
3.66292821	10.99286466
3.66323339	11.13383835
3.66353857	11.27480827
3.66384375	11.4157782
3.66445411	11.55675188
3.66475929	11.6977218
3.66506447	11.83869173
3.66552224	11.97966541
3.66567483	12.12063534
3.66598001	12.26160526
3.66643778	12.40257895
3.66674296	12.54354887
3.66704814	12.6845188
3.66735332	12.82549248
3.66796368	12.96646241
3.66826886	13.10743233
3.66842145	13.24840602
3.66887922	13.38937594
3.66887922	13.53034586
3.669337	13.67131955
3.66964218	13.81228947
3.67009995	13.9532594
3.67025254	14.09423308
3.67071031	14.23520301
3.6708629	14.37617293
3.67132067	14.51714662
3.67162585	14.65811654
3.67193103	14.79908647
3.67223621	14.94006015
3.67269398	15.08103008
3.67284657	15.222
3.67330434	15.36297368
3.67360952	15.50394361
3.67376211	15.64491353
3.67406729	15.78588346
3.67452506	15.92685714
3.67467765	16.06782707
3.67498283	16.20879699
3.67528801	16.34977068
3.67574578	16.4907406
3.67589837	16.63171053
3.67635615	16.77268421
3.67650874	16.91365414
3.67666133	17.05462406
3.6771191	17.19559774
3.67742428	17.33656767
3.67772946	17.47753759
3.67818723	17.61851128
3.67833982	17.7594812
3.678645	17.90045113
3.67910277	18.04142481
